Date,Symbol,Entry,Exit,Net_PnL_%,Net_Profit_USD,Reason
2026-05-21 05:36:25,SUI/USDT,1.0793,1.0941,1.17,0.35,TP (Полный тейк)
2026-05-21 06:15:49,ETH/USDT,2141.52,2157.08,0.53,0.06,TP (Фиксация 50%)
2026-05-21 06:19:20,ETH/USDT,2141.52,2144.22,-0.07,-0.01,SL/Trailing (Остаток)
2026-05-21 11:38:49,NEAR/USDT,1.766,1.728,-2.35,-0.49,SL/Trailing (Остаток)
2026-05-21 11:40:50,BTC/USDT,77974.4,77694.2,-0.56,-0.17,SL/Trailing (Остаток)
2026-05-21 21:01:42,TRX/USDT,0.3622,0.3639,0.27,0.04,TP (Фиксация 50%)
2026-05-21 21:30:15,TRX/USDT,0.3622,0.3639,0.27,0.04,TP (Полный тейк)
2026-05-21 22:20:56,SUI/USDT,1.1105,1.1432,2.74,0.28,TP (Фиксация 50%)
2026-05-21 22:30:31,SOL/USDT,86.68,87.95,1.26,0.18,TP (Полный тейк)
2026-05-21 23:49:52,SUI/USDT,1.1105,1.1458,2.98,0.31,SL/Trailing (Остаток)
2026-05-22 01:32:50,NEAR/USDT,1.862,1.944,4.2,0.56,TP (Фиксация 50%)
2026-05-22 02:55:34,NEAR/USDT,1.862,1.93,3.45,0.46,SL/Trailing (Остаток)
2026-05-22 06:31:38,NEAR/USDT,1.969,2.044,3.61,0.55,TP (Фиксация 50%)
2026-05-22 06:39:08,NEAR/USDT,1.969,2.014,2.08,0.31,SL/Trailing (Остаток)
2026-05-22 11:43:41,ADA/USDT,0.2519,0.2505,-0.76,-0.16,SL/Trailing (Остаток)
2026-05-22 17:54:07,AVAX/USDT,9.489,9.578,0.74,0.22,TP (Полный тейк)
2026-05-24 17:17:07,TRX/USDT,0.364,0.3652,0.13,0.02,TP (Фиксация 50%)
2026-05-24 20:59:18,TRX/USDT,0.364,0.3649,0.05,0.01,SL/Trailing (Остаток)
2026-05-25 11:21:44,BTC/USDT,77512.7,77261.4,-0.52,-0.11,SL/Trailing (Остаток)
2026-05-25 11:47:43,TRX/USDT,0.3661,0.3675,0.18,0.03,TP (Фиксация 50%)
2026-05-25 12:00:51,TRX/USDT,0.3661,0.367,0.05,0.01,SL/Trailing (Остаток)
2026-05-25 14:22:08,XRP/USDT,1.3642,1.3571,-0.72,-0.22,SL/Trailing (Остаток)
2026-05-25 16:52:20,BTC/USDT,77672.1,77376.0,-0.58,-0.11,SL/Trailing (Остаток)
2026-05-25 17:12:29,NEAR/USDT,2.415,2.492,2.99,0.32,TP (Фиксация 50%)
2026-05-25 17:23:14,NEAR/USDT,2.415,2.522,4.23,0.45,SL/Trailing (Остаток)
2026-05-25 18:54:31,NEAR/USDT,2.517,2.615,3.69,0.48,TP (Фиксация 50%)
